"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Phone Order Module - Delivery Type","6","","106","0","","0"
"0","Phone Order Module - Wire out Type","6","","105","0","","0"
"0","Phone Order Module - Pickup Type","12","","107","0","","0"
"0","Cash and Carry Module","13","","41","0","","0"
"0","Customers Module","3","","3","0","","0"
"0","All Orders Page Module","6","","33","0","","0"
"0","Quick Dispatch Module","2","","39","0","","0"
"0","Advance Dispatch Module","11","","47","0","","0"
"0","Delivery Confirmation Module","0","","3","0","","0"
"0","Phone Order Module - Wire In Type","4","","34","0","","0"
"0","Web Admin Module - Categories","1","","6","0","","0"
"0","Proposal Module - Event","13","","14","0","","0"
"0","Configuration Settings Module - Inventory Management","3","","1","0","","0"
"0","Proposal Module - Wedding","20","","16","0","","0"
"0","Configuration Settings Module - Order Entry","4","","14","0","","0"
"0","Web Admin Module - Products","1","","9","0","","0"
"0","Recurring Orders Module","0","","1","0","","0"
"0","Assign Designer Module","1","","0","0","","0"
"0","Web Admin Module - Add-Ons","1","","1","0","","0"
"0","Email Marketing Module","0","","1","0","","0"
"0","Ecommerce - Checkout Page","1","","0","0","","0"
