"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","219118","Validate_Hana_T1219_Webadmin_Product_Add_New_Products_Availability_Active_Enabled_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 03:17:47 IST 2025","passed","Thu Aug 07 03:21:26 IST 2025","com.hanapos.testcases.WebAdmin_Testcases.Products.Hana_T1219_Webadmin_Product_Add_New_Products_Availability_Active_Enabled_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.WebAdmin_Testcases.Products.Hana_T1219_Webadmin_Product_Add_New_Products_Availability_Active_Enabled_Functionality","Validate_Hana_T1219_Webadmin_Product_Add_New_Products_Availability_Active_Enabled_Functionality_Test"
"","176631","Validate_Hana_T157_Pickup_RecipientSection_Confidential_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 18:16:10 IST 2025","passed","Wed Aug 06 18:19:06 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T157_Pickup_RecipientSection_Confidential_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T157_Pickup_RecipientSection_Confidential_FT","Validate_Hana_T157_Pickup_RecipientSection_Confidential_Functionality_Test"
"Hana_T :- Delete Customer Details Functionality Test","78278","Validate_Hana_T1231_Customer_Delete_CustomerDetails_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 00:37:11 IST 2025","passed","Thu Aug 07 00:38:29 IST 2025","com.hanapos.testcases.CustomerModule_TestCases.Hana_T1231_Customer_Delete_CustomerDetails_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.CustomerModule_TestCases.Hana_T1231_Customer_Delete_CustomerDetails_Functionality_Test","Validate_Hana_T1231_Customer_Delete_CustomerDetails_Functionality_Test"
"","206192","Validate_Hana_T101_Pickup_CustomerSection_Edit_Customer_CustomerDetails_CreditCard_AddNewCard_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 17:36:38 IST 2025","passed","Wed Aug 06 17:40:04 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T101_Pickup_CustomerSection_Edit_Customer_CustomerDetails_CreditCard_AddNewCard_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T101_Pickup_CustomerSection_Edit_Customer_CustomerDetails_CreditCard_AddNewCard_FT","Validate_Hana_T101_Pickup_CustomerSection_Edit_Customer_CustomerDetails_CreditCard_AddNewCard_Test"
"","175410","Validate_Hana_T546_CustomerSection_Edit_Customer_CustomerDetails_UnPaidInvoice_Total_Search_Filter_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 21:36:21 IST 2025","passed","Wed Aug 06 21:39:17 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T546_CustomerSection_Edit_Customer_CustomerDetails_UnPaidInvoice_Total_Search_Filter_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T546_CustomerSection_Edit_Customer_CustomerDetails_UnPaidInvoice_Total_Search_Filter_FT","Validate_Hana_T546_CustomerSection_Edit_Customer_CustomerDetails_UnPaidInvoice_Total_Search_Filter_Functionality_Test"
"","91216","Validate_Hana_T365_OrderEntryPage_Delivery_RecipientSection_AddressLookup_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 19:56:53 IST 2025","passed","Wed Aug 06 19:58:24 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T365_OrderEntryPage_Delivery_RecipientSection_AddressLookup_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T365_OrderEntryPage_Delivery_RecipientSection_AddressLookup_FT","Validate_Hana_T365_OrderEntryPage_Delivery_RecipientSection_AddressLookup_Functionality_Test"
"","112018","Validate_Hana_T600_WireOut_OrderDetailsSection_PrintTicket_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 22:21:27 IST 2025","passed","Wed Aug 06 22:23:19 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T600_WireOut_OrderDetailsSection_PrintTicket_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T600_WireOut_OrderDetailsSection_PrintTicket_Functionality","Validate_Hana_T600_WireOut_OrderDetailsSection_PrintTicket_Functionality_Test"
"","114348","Validate_Hana_T133_Pickup_CustomerSection_Edit_Customer_CustomerDetails_OrderDetails_AddressSearchFilter_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 18:02:09 IST 2025","passed","Wed Aug 06 18:04:04 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T133_Pickup_CustomerSection_Edit_Customer_CustomerDetails_OrderDetails_AddressSearchFilter_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T133_Pickup_CustomerSection_Edit_Customer_CustomerDetails_OrderDetails_AddressSearchFilter_FT","Validate_Hana_T133_Pickup_CustomerSection_Edit_Customer_CustomerDetails_OrderDetails_AddressSearchFilter_Functionality_Test"
"","171590","Validate_Hana_T221_OrderEntryPage_Pickup_Payment_Section_Marigold_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 18:46:20 IST 2025","passed","Wed Aug 06 18:49:11 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T221_OrderEntryPage_Pickup_Payment_Section_Marigold_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T221_OrderEntryPage_Pickup_Payment_Section_Marigold_Functionality","Validate_Hana_T221_OrderEntryPage_Pickup_Payment_Section_Marigold_Functionality_Test"
"","68607","Validate_Hana_T1247_Webadmin_Categories_SortBy_Category_Name_Cancel_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 03:29:07 IST 2025","passed","Thu Aug 07 03:30:15 IST 2025","com.hanapos.testcases.WebAdmin_Testcases.Categories.Hana_T1248_Webadmin_Categories_SortBy_Category_Name_Ok_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.WebAdmin_Testcases.Categories.Hana_T1248_Webadmin_Categories_SortBy_Category_Name_Ok_Functionality","Validate_Hana_T1247_Webadmin_Categories_SortBy_Category_Name_Cancel_Functionality_Test"
"Hana_T1233 :- Customer With Order Delete Functionality Test","397983","Validate_Hana_T1233_Customer_With_Order_Delete_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 00:38:18 IST 2025","passed","Thu Aug 07 00:44:56 IST 2025","com.hanapos.testcases.CustomerModule_TestCases.Hana_T1233_Customer_With_Order_Delete_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.CustomerModule_TestCases.Hana_T1233_Customer_With_Order_Delete_Functionality_Test","Validate_Hana_T1233_Customer_With_Order_Delete_Functionality_Test"
"","169972","Validate_Hana_T385_OrderDetailsSection_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 20:05:51 IST 2025","passed","Wed Aug 06 20:08:41 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T385_OrderDetailsSection_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T385_OrderDetailsSection_Functionality","Validate_Hana_T385_OrderDetailsSection_Functionality_Test"
