"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","329491","Validate_Hana_T1465_OrderPage_AllOrdersView_Non_Deliveries_View_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:26:57 IST 2025","passed","Thu Jun 12 15:32:26 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1465_OrderPage_AllOrdersView_Non_Deliveries_View_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1465_OrderPage_AllOrdersView_Non_Deliveries_View_Functionality_Test","Validate_Hana_T1465_OrderPage_AllOrdersView_Non_Deliveries_View_Functionality_Test"
"","315308","Validate_Hana_T_Payments_With_EGiftCard_Under_Payment_Section_GiftCard_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:56:50 IST 2025","passed","Thu Jun 12 16:02:06 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T_Payments_With_EGiftCard_Under_Payment_Section_GiftCard_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T_Payments_With_EGiftCard_Under_Payment_Section_GiftCard_FT","Validate_Hana_T_Payments_With_EGiftCard_Under_Payment_Section_GiftCard_Functionality_Test"
"Hana_T1432 :- Verify Phone Order Status with existing customer functionality","168722","Validate_Hana_T1432_OrderPage_AllOrders_Verify_Status_As_New_For_Phone_Orders_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:20:14 IST 2025","passed","Thu Jun 12 15:23:03 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1432_OrderPage_AllOrders_Verify_Status_As_New_For_Phone_Orders_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1432_OrderPage_AllOrders_Verify_Status_As_New_For_Phone_Orders_Functionality_Test","Validate_Hana_T1432_OrderPage_AllOrders_Verify_Status_As_New_For_Phone_Orders_Functionality_Test"
"","120096","Validate_Hana_T51_Payments_Cash_Payment_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:09:15 IST 2025","passed","Thu Jun 12 15:11:15 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T51_Payments_Cash_Payment_Section_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T51_Payments_Cash_Payment_Section_FT","Validate_Hana_T51_Payments_Cash_Payment_Test"
"Hana_T1480 :- Verify Phone Order Wire Out Status Changed to Wire out with existing customer functionality","199419","Validate_Hana_T1480_Order_Page_All_Orders_Verify_Status_displaying_as_Wire_out_for_PhoneOrders_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:32:32 IST 2025","passed","Thu Jun 12 15:35:51 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1480_Order_Page_All_Orders_Verify_Status_displaying_as_Wire_out_for_PhoneOrders_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1480_Order_Page_All_Orders_Verify_Status_displaying_as_Wire_out_for_PhoneOrders_Functionality_Test","Validate_Hana_T1480_Order_Page_All_Orders_Verify_Status_displaying_as_Wire_out_for_PhoneOrders_Functionality_Test"
"","405294","Validate_Hana_T1502_AllOrders_Verify_Status_is_ChangedTo_RedeliverFlowersBackInStore_When_Florist_Redelivered_The_Delivered_Order_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:39:55 IST 2025","passed","Thu Jun 12 15:46:40 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1502_AllOrders_Verify_Status_is_ChangedTo_RedeliverFlowersBackInStore_When_Florist_Redelivered_The_Delivered_Order_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1502_AllOrders_Verify_Status_is_ChangedTo_RedeliverFlowersBackInStore_When_Florist_Redelivered_The_Delivered_Order_Functionality_Test","Validate_Hana_T1502_AllOrders_Verify_Status_is_ChangedTo_RedeliverFlowersBackInStore_When_Florist_Redelivered_The_Delivered_Order_Functionality_Test"
"","231602","Validate_Hana_T1433_Order_Page_All_Orders_Verify_the_Status_is_change_to_Dispatch_when_order_is_dispatch_from_Quick_Dispatch_Functionality","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:54:06 IST 2025","failed","Thu Jun 12 15:57:57 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1433_Order_Page_All_Orders_Verify_the_Status_is_change_to_Dispatch_when_order_is_dispatch_from_Quick_Dispatch_Functionality","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1433_Order_Page_All_Orders_Verify_the_Status_is_change_to_Dispatch_when_order_is_dispatch_from_Quick_Dispatch_Functionality","Validate_Hana_T1433_Order_Page_All_Orders_Verify_the_Status_is_change_to_Dispatch_when_order_is_dispatch_from_Quick_Dispatch_Functionality"
"","117416","Validate_Hana_T28_GiftCard_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:07:36 IST 2025","passed","Thu Jun 12 15:09:33 IST 2025","com.hanapos.testcases.CashandCarry_Testcases.Hana_T28_Gift_Card_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.CashandCarry_Testcases.Hana_T28_Gift_Card_FT","Validate_Hana_T28_GiftCard_Functionality_Test"
"","487443","Validate_Hana_T1490_AllOrdersView_Pending_Deliveries_View_Delivery_Type_as_Wire_In_and_Status_New_Redeliver_because_of_complaint_Redeliver_flowers_back_in_store_FT","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:35:56 IST 2025","broken","Thu Jun 12 15:44:03 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1490_AllOrdersView_Pending_Deliveries_View_Delivery_Type_as_Wire_In_and_Status_New_Redeliver_because_of_complaint_Redeliver_flowers_back_in_store_FT","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1490_AllOrdersView_Pending_Deliveries_View_Delivery_Type_as_Wire_In_and_Status_New_Redeliver_because_of_complaint_Redeliver_flowers_back_in_store_FT","Validate_Hana_T1490_AllOrdersView_Pending_Deliveries_View_Delivery_Type_as_Wire_In_and_Status_New_Redeliver_because_of_complaint_Redeliver_flowers_back_in_store_FT"
"Hana_T1455 :- Verify Phone Order Status Changed to Not Delivered (Delivery Attempted) by Delivery confirmation details with existing customer functionality","314521","Validate_Hana_T1455_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Not_Delivered_Delivery_Attempted_When_Order_is_Delivered_From_Delivery_Confirmation_Details_popup_Functionality_Test","Hana POS - Smoke Functional Test Suite","Thu Jun 12 15:26:26 IST 2025","passed","Thu Jun 12 15:31:40 IST 2025","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1455_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Not_Delivered_Delivery_Attempted_When_Order_is_Delivered_From_Delivery_Confirmation_Details_popup_Functionality_Test","Hana POS - Smoke Functional Test","com.hanapos.testcases.All_Orders_Page_Testcases.Hana_T1455_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Not_Delivered_Delivery_Attempted_When_Order_is_Delivered_From_Delivery_Confirmation_Details_popup_Functionality_Test","Validate_Hana_T1455_OrderPage_AllOrders_Verify_Status_is_ChangedTo_Not_Delivered_Delivery_Attempted_When_Order_is_Delivered_From_Delivery_Confirmation_Details_popup_Functionality_Test"
